temp,soil_ph,rainfall,crop
20.87974371,6.502985292000001,202.9355362,rice
21.77046169,7.038096361,226.6555374,rice
23.00445915,7.840207144,263.9642476,rice
26.49109635,6.980400905,242.8640342,rice
20.13017482,7.628472891,262.7173405,rice
23.05804872,7.073453503,251.0549998,rice
22.70883798,5.70080568,271.3248604,rice
20.27774362,5.718627177999999,241.9741949,rice
24.51588066,6.685346424,230.4462359,rice
23.22397386,6.336253525,221.2091958,rice
26.52723513,5.386167788,264.6148697,rice
23.97898217,7.50283396,250.0832336,rice
26.80079604,5.108681786,284.4364567,rice
24.01497622,6.98435366,185.2773389,rice
25.66585205,6.94801983,209.5869708,rice
24.28209415,7.042299068999999,231.0863347,rice
21.58711777,6.2490506560000005,276.65524589999995,rice
23.79391957,6.970859754,206.2611855,rice
21.8652524,5.953933276,224.55501690000003,rice
23.57943626,5.85393208,291.2986618000001,rice
21.32504158,6.442475375,185.4974732,rice
25.15745531,5.070175667,231.3843163,rice
21.94766735,6.012632591,213.3560921,rice
21.0525355,6.254028451,233.1075816,rice
23.48381344,7.375482851,224.0581164,rice
25.0756354,7.778915154,257.0038865,rice
26.35927159,6.2865001760000006,271.35861370000003,rice
24.52922681,7.070959995,260.2634026,rice
20.77576147,6.244841491,240.0810647,rice
22.30157427,6.043304899,197.9791215,rice
21.44653958,5.824709117,272.2017204,rice
22.17931888,6.3573893660000005,200.0882787,rice
24.52783742,6.364134967999999,224.67572310000003,rice
20.26707606,5.01450727,270.4417274,rice
25.7354293,6.149410611,233.1321372,rice
26.79533926,5.950660556,193.3473987,rice
26.75754171,5.960370061,272.29990560000005,rice
23.86330467,5.561398642,285.2493645,rice
21.01944696,7.416245107000001,298.40184710000005,rice
24.17298839,5.583370042,257.0343554,rice
22.78133816,6.430010215,248.7183228,rice
25.62980105,5.534878156,209.9001977,rice
25.59704938,6.903985986,200.834898,rice
23.83067496,6.271478837999999,298.5601175,rice
26.31355498,7.224285503,265.5355937,rice
24.8972823,6.13428721,183.6793207,rice
24.958779,5.206373153,196.95600080000003,rice
23.24113501,7.782051312999999,233.0453455,rice
21.66628296,7.062779015,210.8142087,rice
24.63544858,7.730367824,253.7202781,rice
23.43121862,5.286203711000001,219.9048349,rice
20.0454142,6.766240045,208.5810155,rice
23.85724032,7.382762603,195.0948311,rice
21.97199397,5.658169482000001,227.3637009,rice
26.22916897,5.543360237999999,286.5083725,rice
23.44676801,6.215109715,283.9338466,rice
25.65553461,7.120272972,217.3788583,rice
24.44345477,5.950647577000001,267.97619480000003,rice
20.2801937,7.236705436,191.9535738,rice
21.7238313,6.501697816,277.9626192,rice
20.41447029,7.592490617,245.1511304,rice
25.75528612,5.875345751,245.6626799,rice
20.61521424,6.932400225,279.5451717,rice
21.84106875,6.9462098810000015,202.3838319,rice
20.08369642,5.739175027000001,263.6372176,rice
24.45802087,6.738652179,182.5616319,rice
21.14347496,5.5948196260000005,198.6730942,rice
25.78720567,6.946636369,243.5120414,rice
23.64124821,5.012139669,263.1103304,rice
23.43191632,6.363472207999999,269.5039162,rice
